sample_size lower1 upper1 lower2 upper2 lower3 upper3
72.8933 3.13269e-16 2.13029 1.12976 1.88293 1.85077 1.85077 
73.956 3.13269e-16 2.13029 1.12976 1.88293 1.34105 1.34105 
30.64 3.13269e-16 2.13029 1.12976 1.88293 1.39371 1.39371 
60.0279 0.31072 3.16499 1.12976 1.88293 1.84489 1.84489 
45.7631 3.13269e-16 2.13029 0.418722 1.89523 1.84489 1.84489 
50.135 0.417592 2.18236 1.12976 1.88293 1.84489 1.84489 
114.701 3.13269e-16 2.13029 0.0317018 2.0648 1.84489 1.84489 
120.647 3.13269e-16 2.13029 1.18885 1.86504 1.84489 1.84489 
21.3995 -1.72034 2.4238 1.12976 1.88293 1.84489 1.84489 
10.3735 -0.123987 3.75847 1.12976 1.88293 1.84489 1.84489 
5.88906 3.13269e-16 2.13029 1.12976 1.88293 1.7379 1.7379 
95.5029 -1.3324 2.89717 1.12976 1.88293 1.84489 1.84489 
72.696 -1.24645 3.00128 1.12976 1.88293 1.84489 1.84489 
53.3817 3.13269e-16 2.13029 1.12976 1.88293 1.20354 1.20354 
30.0531 3.13269e-16 2.13029 1.12976 1.88293 1.20063 1.20063 
75.3791 -0.342643 1.98199 1.12976 1.88293 1.84489 1.84489 
34.6865 3.13269e-16 2.13029 1.46802 1.88357 1.84489 1.84489 
68.9897 3.13269e-16 2.13029 1.12976 1.88293 1.3001 1.3001 
62.1889 3.13269e-16 2.13029 0.365755 2.05548 1.84489 1.84489 
78.5502 3.13269e-16 2.13029 1.12976 1.88293 1.79238 1.79238 
117.239 -0.56181 3.86439 1.12976 1.88293 1.84489 1.84489 
97.9208 3.13269e-16 2.13029 0.885568 1.96086 1.84489 1.84489 
82.8395 -2.95485 2.97062 1.12976 1.88293 1.84489 1.84489 
61.3874 3.13269e-16 2.13029 0.327406 1.92423 1.84489 1.84489 
51.9057 0.847448 2.32562 1.12976 1.88293 1.84489 1.84489 
83.2573 3.13269e-16 2.13029 1.12976 1.88293 1.26472 1.26472 
123.1 3.13269e-16 2.13029 1.12976 1.88293 1.43312 1.43312 
26.7175 3.13269e-16 2.13029 1.25491 2.09395 1.84489 1.84489 
62.1845 -0.24092 2.02891 1.12976 1.88293 1.84489 1.84489 
46.9145 3.13269e-16 2.13029 0.975565 2.11689 1.84489 1.84489 
69.8313 -2.28358 2.09443 1.12976 1.88293 1.84489 1.84489 
88.8212 3.13269e-16 2.13029 1.12976 1.88293 1.81424 1.81424 
58.6915 -1.23795 2.30232 1.12976 1.88293 1.84489 1.84489 
51.2158 0.471761 3.42781 1.12976 1.88293 1.84489 1.84489 
46.7917 3.13269e-16 2.13029 1.38747 2.07486 1.84489 1.84489 
62.2993 3.13269e-16 2.13029 1.12976 1.88293 1.80682 1.80682 
57.7028 3.13269e-16 2.13029 1.12976 1.88293 1.63554 1.63554 
