index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
35628,1,3,2.13762,1.91937,1.87492,0.07487,0.931197,0.0487512,0.902894,64.152,129.142,129.142,9.6787
35629,1,3,2.13438,1.91937,1.87492,0.0641429,0.931197,0.0488888,0.904144,64.3426,129.699,129.699,9.66912
35630,1,3,2.13438,1.92387,1.87492,0.0641429,0.940782,0.0486714,0.903678,64.3304,129.596,129.596,9.65955
35631,1,3,2.11121,1.92387,1.87492,0.070376,0.940782,0.0492812,0.902547,64.0614,128.489,128.489,9.64999
35632,1,3,2.11121,1.92387,1.89133,0.070376,0.940782,0.0487267,0.899901,63.7092,127.783,282.085,9.64044
35633,1,3,2.11484,1.92387,1.87492,0.0366705,0.940782,0.0493333,0.904199,64.1144,129.378,129.378,9.64044
35634,1,3,2.11121,1.91929,1.87492,0.070376,0.935463,0.0494768,0.903614,64.265,128.902,128.902,9.64044
35635,1,3,2.09073,1.93831,1.83725,0.105673,0.968188,0.0503654,0.900225,63.4733,125.963,23889.1,9.63089
35636,1,3,2.09073,1.97133,1.84749,0.105673,0.963463,0.0489769,0.898413,63.3154,126.337,282.933,9.63089
35637,1,3,2.08586,1.93831,1.84749,0.0935506,0.968188,0.0502077,0.900606,63.5955,126.374,23889,9.63089
35638,1,3,2.09073,1.92484,1.84749,0.105673,0.958121,0.0505199,0.900234,63.5002,125.935,23889.5,9.63089
35639,1,3,2.09073,1.93831,1.87304,0.105673,0.968188,0.0491107,0.897213,63.3812,125.78,284.226,9.63089
35640,1,3,2.09073,1.93831,1.85728,0.105673,0.968188,0.0496526,0.899336,63.6177,126.25,281.422,9.63089
35641,1,3,2.09073,1.94409,1.84749,0.105673,0.948547,0.0499297,0.90066,63.6152,126.683,126.683,9.63089
35642,1,3,2.08239,1.94409,1.84749,0.0952419,0.948547,0.0502381,0.900535,63.4321,126.385,23889.1,9.62136
35643,1,3,2.09073,1.94409,1.83441,0.105673,0.948547,0.0504099,0.900953,63.444,126.342,23889.6,9.62136
35644,1,3,2.09498,1.94409,1.84749,0.0959977,0.948547,0.0498535,0.90131,63.6677,127.083,127.083,9.62136
35645,1,3,2.09498,1.92562,1.84749,0.0959977,0.965483,0.0503712,0.902178,63.9604,127.032,23890.2,9.61184
35646,1,3,2.09498,1.94409,1.84154,0.0959977,0.948547,0.0500715,0.902171,63.7762,127.3,23889.5,9.61184
35647,1,3,2.09498,1.94409,1.8547,0.0959977,0.948547,0.0495932,0.901914,63.96,127.667,127.667,9.61184
35648,1,3,2.09498,1.94409,1.86797,0.0959977,0.948547,0.0491235,0.901912,64.2138,128.173,128.173,9.60232
35649,1,3,2.10549,1.94409,1.86797,0.0898782,0.948547,0.0488437,0.901294,64.0033,128.091,128.091,9.59282
35650,1,3,2.10549,1.94409,1.87998,0.0898782,0.948547,0.0484274,0.900064,63.9236,127.932,127.932,9.58332
35651,1,3,2.10549,1.94409,1.85743,0.0898782,0.948547,0.0492171,0.900198,63.5222,127.128,127.128,9.57384
35652,1,3,2.10549,1.94409,1.83414,0.0898782,0.948547,0.0500711,0.900925,63.263,126.61,23888.8,9.56436
35653,1,3,2.10549,1.94409,1.83633,0.0898782,0.948547,0.0499889,0.901444,63.4369,126.958,126.958,9.56436
35654,1,3,2.13585,1.94409,1.83633,0.105689,0.948547,0.0490625,0.900836,63.5459,127.403,127.403,9.55489
35655,1,3,2.13585,1.94409,1.81141,0.105689,0.948547,0.0500174,0.901848,63.3391,126.988,23889,9.54543
35656,1,3,2.13585,1.90799,1.83633,0.105689,0.935087,0.0504058,0.902776,63.74,127.322,23890.6,9.54543
35657,1,3,2.13585,1.94409,1.82015,0.105689,0.948547,0.0496775,0.901481,63.4073,127.125,127.125,9.54543
35658,1,3,2.09929,1.94409,1.82015,0.0774191,0.948547,0.0508489,0.901623,63.0098,126.252,23890.9,9.53599
35659,1,3,2.13585,1.96725,1.82015,0.105689,0.918672,0.0491458,0.901536,63.2496,127.731,127.731,9.53599
35660,1,3,2.09073,1.93831,1.86564,0.105673,0.968188,0.049363,0.897959,63.4281,125.873,283.168,9.53599
35661,1,3,2.10175,1.93831,1.84749,0.0919958,0.968188,0.0497424,0.899668,63.3745,126.275,280.936,9.53599
35662,1,3,2.05539,1.93831,1.84749,0.124532,0.968188,0.0510067,0.89823,63.318,124.54,24046.5,9.53599
35663,1,3,2.09073,1.93831,1.85018,0.105673,0.968188,0.0499022,0.900281,63.7258,126.464,126.464,9.53599
35664,1,3,2.09073,1.95057,1.85018,0.105673,0.946009,0.049637,0.901576,63.909,127.431,127.431,9.52655
35665,1,3,2.09073,1.94066,1.85018,0.105673,0.923596,0.0500931,0.901475,63.6377,127.078,23889.4,9.51712
35666,1,3,2.09073,1.95057,1.82719,0.105673,0.946009,0.0504906,0.903361,63.9374,127.488,23891,9.51712
