index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
33749,1,3,2.06301,1.9544,1.71207,0.38968,1.3675,0.0480335,0.904486,74.8687,132.618,132.618,22.4153
33750,1,3,2.06301,1.9544,1.67918,0.38968,1.3675,0.0488567,0.904734,74.7426,132.394,132.394,22.3931
33751,1,3,2.12917,1.9544,1.67918,0.446303,1.3675,0.0464324,0.896758,73.7036,130.647,289.794,22.3709
33752,1,3,2.17241,1.9544,1.67918,0.427658,1.3675,0.0455092,0.904275,75.698,135.727,135.727,22.3709
33753,1,3,2.17241,1.9544,1.58387,0.427658,1.3675,0.0480889,0.904848,75.3775,135.153,135.153,22.3488
33754,1,3,2.17241,2.03269,1.58387,0.427658,1.38439,0.0461143,0.903524,75.4896,136.797,136.797,22.3267
33755,1,3,2.06301,1.89879,1.82468,0.38968,1.12363,0.0497651,0.905065,71.3342,129.692,129.692,22.3046
33756,1,3,2.06301,1.89879,1.73673,0.38968,1.12363,0.0524038,0.906136,70.6588,128.464,23897.9,22.2825
33757,1,3,2.06301,1.89879,1.76782,0.38968,1.12363,0.0514275,0.910243,72.3104,131.467,23897.9,22.2825
33758,1,3,2.06301,1.89879,1.63584,0.38968,1.12363,0.0558957,0.912322,71.6626,130.289,23910.5,22.2825
33759,1,3,2.00726,1.89879,1.82468,0.195789,1.12363,0.053117,0.921198,72.3794,135.54,23907.1,22.2825
33760,1,3,2.06301,1.93566,1.82468,0.38968,1.1241,0.0485702,0.905091,71.4881,130.727,130.727,22.2825
33761,1,3,2.06301,1.93566,1.87006,0.38968,1.1241,0.0473085,0.903217,71.5015,130.752,130.752,22.2604
33762,1,3,2.32162,1.93566,1.87006,0.245686,1.1241,0.0422452,0.912941,71.9755,140.928,140.928,22.2384
33763,1,3,2.32162,1.93566,1.87957,0.245686,1.1241,0.0419633,0.914716,72.6792,142.306,142.306,22.2164
33764,1,3,2.32162,2.02359,1.87957,0.245686,1.13141,0.0390529,0.913032,72.6434,144.176,144.176,22.1944
33765,1,3,2.45928,2.02359,1.87957,0.0185144,1.13141,0.0381315,0.920032,71.9161,150.027,150.027,22.1724
33766,1,3,2.45928,2.02359,1.89688,0.0185144,1.13141,0.0375461,0.909981,69.2346,144.433,144.433,22.1505
33767,1,3,2.45928,2.02359,1.91131,0.0185144,1.13141,0.0370721,0.9173,71.6516,149.476,149.476,22.1286
33768,1,3,2.34871,2.02359,1.91131,-0.0526197,1.13141,0.0387576,0.917751,71.0201,147.718,147.718,22.1067
33769,1,3,2.34871,2.02359,1.98999,-0.0526197,1.13141,0.0363949,0.909401,70.136,145.879,145.879,22.0848
33770,1,3,2.18836,2.02359,1.98999,-0.100155,1.13141,0.0397544,0.915428,71.2206,146.037,146.037,22.0629
