upper1,upper2,upper3,lower1,lower2,n,output
-1.44327201651431,2.5560480322734915,1.2695821988478584,-2.5290037306017177,0.40773271077872997,12.022977414196621,0.0
-2.436740980624174,-1.9789390069081239,1.2942030996493785,2.641048263651388,1.7128532787025705,18.31213947361572,0.0
1.0560215324393911,-0.8594008201815123,2.9418238370858174,2.9582476099352895,1.1792400287849878,23.12766191119252,0.0
1.428781569836399,2.4362470142932873,1.7953217629518894,-1.8481093745749022,2.2979433687427617,14.508478281594451,0.0
0.71424340435702,2.9126699002575145,2.530288136357694,-2.0317554522981665,-0.9599516683313796,29.71792857331806,0.0
1.9200758664881006,0.8851265217260584,2.6888453130753405,-0.06916136773044464,-1.6910884413749,12.774184639121444,0.0
2.3689994740784535,1.8112994776756794,2.9652381048447243,0.7608459874200855,-2.6728222303681255,15.236144119531405,0.0
2.65650814417169,-1.9605830063163332,1.3220606059955107,2.9758443252304767,-2.130614998848999,16.10146401553452,0.0
2.247396868026627,2.7795943239592806,1.336508636230126,-2.9790982995867923,1.2507263907020694,28.044076625031273,0.0
0.5823693514229544,2.9531275784249815,1.3102382553828151,-0.3519993610789249,1.978429060521931,29.358615079965162,0.0
1.3303446006248647,-2.338839998573871,2.6789061866658463,-0.45719048935953815,-2.571620000214577,27.832337378391202,0.0
3.0,3.0,2.6982131533332794,-3.0,1.8876668829917864,30.0,1.0
3.0,3.0,2.7183023813053926,-3.0,3.0,30.0,0.0
3.0,3.0,2.732770041265198,-3.0,-1.575008116472801,30.0,1.0
1.8810998330762103,2.979166108016471,2.7778333708235086,-2.962671749942889,-0.12573744574359658,24.08457700809796,0.0
2.8420044496192007,2.549228885777603,2.738574100115279,1.2062017050562048,2.5469968718601232,26.0810986696783,0.0
2.495936494425285,-2.5892844854474193,2.753443889441415,-2.1546781319917154,-0.35136810499250354,12.458279805757488,0.0
-2.8777458304822248,-2.9268794284060284,0.0695439741830231,0.577507477812014,1.1742863580998157,13.042079345098422,0.0
-0.5263713210710047,0.6840284040426492,2.7481375676682482,-3.0,0.508908411962464,10.0,0.0
2.888747633342235,2.40900105840654,1.7062894355324068,-0.5201439408421699,-0.7938941378917742,10.576900492596785,0.0
3.0,-3.0,1.7280613097211808,-3.0,-3.0,30.0,0.0
1.6677090506853598,-2.90159416017412,1.7132013061068647,-2.7063217758168743,0.8951371296354793,23.401681375545422,0.0
-3.0,3.0,1.6993954663083946,-3.0,-3.0,30.0,0.0
0.056675460169327396,2.610230738986411,2.994943736330039,-1.9104798118371684,1.0199333017137688,12.478403389205972,0.0
-2.930656851212387,0.044839522724431466,1.3475988932409173,-2.7865552533380904,-2.3126869725571346,28.89633106603546,0.0
-2.1707589001347682,2.944641101040567,1.9152520740159402,2.8100284892227467,-0.4026610320256158,27.564883386415957,0.0
2.727404385133983,-1.07444106347912,1.900605183326563,0.9166360121569536,1.373231790774437,10.458262534187728,0.0
2.768654694699892,2.8626571126041953,-0.015478377238905668,-2.624969525650551,-2.8211500575888158,26.631756418611857,0.0
-1.4660145262749504,1.4154287789523468,2.7279209165874154,-2.4721257923720175,2.439834878684548,14.98110013874556,0.0
1.059001793112079,1.8644501528876258,1.3844722582170967,2.9299964015697277,1.7200917825965842,26.342076333163124,0.0
-1.7428270291607189,-2.198330365916011,1.3708253488833446,0.08804179439622813,-2.8705654180292495,17.552591731528597,0.0
0.35983183954390746,2.2423618555907674,1.3956046280202148,-2.5887128425647745,-0.07413418623717712,18.745379649737714,0.0
2.8247158477671372,2.568521017394938,1.3600928303489284,-2.6537361855444477,-2.8418887533265353,28.624792420007758,0.0
-1.8762811510182202,2.520016992590606,1.2458424383173408,-1.7790727100633206,-0.40920840355674676,11.320269869466223,0.0
-0.4619937969245089,-0.8714955339451725,1.2157897401965136,-2.9066519614606445,1.9041745211669534,28.54016916840912,0.0
2.770580685504575,1.4757129755466332,2.4651668460641623,1.9307547758995391,-0.05446900270286009,25.8076719313691,0.0
-0.16925257518671935,1.6457466828709963,2.977383095227409,-0.8457110074060111,-1.1866497924900352,27.192816963691417,0.0
1.356434589902414,0.6056480218455753,2.955069149476878,-2.9960176004297194,-1.8364327553650979,26.92677847607748,0.0
0.5841085000784673,3.0,1.7196263661732727,2.2384949895985082,-0.8358671340643123,28.95300193075919,0.0
2.0116268169696556,2.0645552224711476,1.838634313376581,-2.681512735257301,-1.6512422768001482,25.56766602413627,0.0
2.912422541110975,0.0445333254219683,1.831688547329647,1.9421917114408025,1.4212369112236936,11.291674016344503,0.0
3.0,-3.0,1.8591099138506832,3.0,3.0,30.0,0.0
-1.8805649823957018,-1.334112391093794,1.8237661918462962,2.4189154097630694,1.322899807058154,27.177699332400636,0.0
-2.270478843439645,0.29069834428800845,1.8447240777925533,0.2997330832917636,2.6308230857886485,27.142234485317356,0.0
-3.0,3.0,2.0277101825452886,3.0,3.0,30.0,0.0
-2.7597802747379734,2.8693168317158144,2.585582505360412,-0.5212269090520978,0.5075749582519139,20.034843306294928,0.0
2.9830279669585664,2.4353293374638203,2.6177896939280343,1.2440714239969737,-2.186443317263983,27.64665513539136,0.0
3.0,3.0,2.6713761101253977,-3.0,-3.0,30.0,1.0
3.0,3.0,2.627551800022489,-3.0,1.3540863573871138,30.0,1.0
3.0,3.0,2.656038606332853,-3.0,-3.0,30.0,1.0
3.0,3.0,1.674955915961627,-3.0,-3.0,30.0,1.0
0.4273631948060624,2.985888295809137,1.641972179170277,1.0937693278268674,-2.362915284977057,20.65145342124095,0.0
-2.4580345036233306,1.061613963652854,1.1993394141343734,-2.837973576845437,2.840763051757098,10.345084586216041,0.0
2.921001781700182,2.50994352778139,2.6220338587580136,-0.5316015302784759,1.3721485715794766,23.811081814366958,0.0
2.410335999858084,1.4281774284849822,2.608173808112187,-0.6396665742874742,-2.7447167905377294,27.424292859071198,0.0
2.6645808551912737,2.974921252280928,2.6315668683903457,-1.96720739845563,-1.8006345036668616,25.824176055690003,0.0
-3.0,3.0,2.613069937265051,-3.0,3.0,30.0,0.0
3.0,3.0,2.637908332423383,-3.0,1.0295598925123002,30.0,1.0
0.9440112352472971,0.41148846655672927,1.4091753953936943,-2.4428093375252633,-2.0222107915140413,10.371762798726008,0.0
2.1335251367730086,2.0018803207561504,1.6223339541678052,-1.7649504183913556,-2.0127625437289023,28.938474444436757,0.0
3.0,-3.0,2.9853824894312084,-3.0,0.0244994212964278,30.0,0.0
2.5386208468809346,2.659398912893428,1.2558029108795499,0.057320994827507896,-1.4330119779834327,28.02020175214847,0.0
3.0,3.0,1.6691441992722482,-3.0,-1.9573240914624876,23.919033663578368,1.0
3.0,3.0,1.646562801521755,-0.9236185086881255,-2.4666238883823897,24.242769726577883,0.0
3.0,-3.0,2.7873458636857293,-3.0,-3.0,30.0,0.0
3.0,-3.0,2.758536767893603,-3.0,-3.0,21.475597192687527,0.0
2.8589562361106755,1.9893826848555818,1.2326523600701267,1.3576824200604718,0.6153267953558729,20.408301915151693,0.0
1.2373870784689183,1.885165784873497,2.49152162953322,1.2697137095824869,0.22731005418268868,26.929630887746406,0.0
-3.0,2.4474310005894595,2.9214422638580726,-3.0,1.6320335312133485,30.0,0.0
3.0,-3.0,1.851135728608657,3.0,-0.4407229224597236,30.0,0.0
1.680849268593853,1.3062799245829377,2.7361998262878484,1.2163969430937178,0.8482555328137235,14.399689295875794,0.0
0.6151542907721821,-1.4883137660026435,2.9677127563910712,-1.2474986636257408,0.08974519629145837,28.535436490593096,0.0
3.0,3.0,1.9050728956725185,-3.0,3.0,20.82030447591318,0.0
1.7561034838730853,-0.9982527799742305,1.225537564148725,1.7171707487669656,-2.2848296909750903,28.993502590318496,0.0
-3.0,3.0,1.7408621894655187,3.0,-3.0,10.0,0.0
-2.4094298732434862,3.0,1.6372458934185148,1.5612000768686625,3.0,12.501396772904409,0.0
-2.200425169828738,2.635974410804909,1.7114611057486457,-1.829853947515273,-0.8373007454705159,28.359382629404337,0.0
3.0,-3.0,1.7005212768879034,-3.0,3.0,10.0,0.0
3.0,-3.0,1.7078442569623313,-3.0,-0.49887636490034104,22.260601626201957,0.0
3.0,3.0,1.6979333752699415,-3.0,-3.0,10.0,1.0
3.0,3.0,1.7164907986675735,-3.0,-3.0,10.0,1.0
0.7355549429504439,1.4238466293017646,1.81250479493708,0.007070891698022659,0.8715488648919544,14.741330810713304,0.0
3.0,3.0,1.7663661401037813,-3.0,-3.0,10.0,1.0
1.10117657576824,1.4085199945050229,2.5101590963413005,-2.5591464858886055,2.450571506292732,28.783019444660074,0.0
1.7267436977670576,0.7151245025749156,2.4835321879865915,-2.5568637869762965,-2.0393230225883103,25.476287949244217,0.0
3.0,3.0,2.4757953324009065,-3.0,-3.0,30.0,1.0
-1.7032588630243928,-2.7466919491085977,1.925748087679722,-2.3556597160712878,1.969681691055689,25.512426304897936,0.0
2.910933020020622,2.3857257621476404,1.9418745710589431,2.916138312913045,1.8133148631004148,16.045682707528023,0.0
2.68927753666668,1.5516831702973817,1.918131342016269,1.11376383509628,0.7032368471711707,20.03631769506257,0.0
-2.120571159314136,2.87568293809774,1.9123664781177567,0.4457432534404786,-2.0211401890207426,13.51951837129554,0.0
-1.7338461042033113,2.4304600947569885,2.642607464566763,-2.5708054607262083,-1.9597031843357682,29.511915573068734,0.0
-0.33172762977056147,2.7980623559991367,1.937947300288749,-0.2859991216991385,1.9163369514531645,28.57101265797322,0.0
2.9595234338798093,3.0,2.5177630614648625,-3.0,-2.0195804410204543,25.540875029553327,0.0
2.645258447819779,-0.7076612943750344,2.7299221581815707,-0.6641188462383899,-2.9134793418505724,28.98733977474791,0.0
-3.0,3.0,2.715542205256841,-3.0,3.0,10.0,0.0
2.844942088410867,1.5119297372785927,0.05682827181197381,-2.793248389935293,-0.0538011867080038,28.021474137708896,1.0
-3.0,3.0,2.7407670569255314,-3.0,3.0,30.0,0.0
0.3063853828450737,1.7680333568936033,1.3248652952262179,0.9301918540203005,0.362182463581558,27.44285249052566,0.0
3.0,-3.0,1.33385282831992,3.0,-3.0,10.0,0.0
3.0,3.0,1.3190575125729027,-3.0,3.0,30.0,0.0
-1.0485868034266765,2.3968912653955057,1.833706519261943,1.220600528123325,0.399804301509921,26.191621483931737,0.0
3.0,-3.0,1.8372088600607754,2.4492617012059785,-0.519861638293945,22.994254420426174,0.0
3.0,3.0,1.8296535370932387,-3.0,1.5965773147420284,10.0,1.0
