,index,upper1,upper2,upper3,upper4,upper5,lower1,lower2,lower3,lower4,alpha,power,sample_size,max_ess,obj_func,temperature,execute_time,seed
10,1011,10.487066800438816,8.664257234276139,8.330731094051137,5.560354855285211,4.106718911102144,-0.8737192933214546,-0.05316422446395208,0.9677725433950521,4.024086825935967,7.412840225373099e-06,0.054715792639321914,29.09904320521467,132.53931342089734,111.38554228733322,49.0,4.316221714019775,98204892800484403055623800779791099565
11,1012,8.591534906812713,6.768725340650036,6.435199200425034,3.664822961659108,2.211187017476041,-2.7692511869475576,-1.948696118090055,-0.9277593502310508,2.1285549323098643,0.008238085537324193,0.6274094337875985,29.09904320521467,132.60734854468203,12.583253376779881,48.9,4.316221714019775,98204892800484403055623800779791099565
12,1013,8.90231669610414,7.079507129941463,6.745980989716461,3.9756047509505352,2.521968806767468,-2.4584693976561303,-1.6379143287986277,-0.6169775609396235,2.4393367216012916,0.003314363638344162,0.5038168629547677,29.09904320521467,131.73425552538478,25.385997622501822,48.8,4.316221714019775,98204892800484403055623800779791099565
13,1014,8.104186161231885,6.281376595069207,5.947850454844205,3.177474216078279,2.211187017476041,-2.7692511869475576,-1.948696118090055,-0.9277593502310508,2.1285549323098643,0.008264858634788357,0.6275781008593289,29.09904320521467,128.00930009749183,12.538909960288139,48.699999999999996,4.316221714019775,98204892800484403055623800779791099565
14,1015,8.104186161231885,6.281376595069207,5.947850454844205,3.177474216078279,2.211187017476041,-4.443902679023725,-3.6233476101662223,-2.6024108423072176,0.4539034402336972,0.013537064694193683,0.7364066229965224,29.09904320521467,140.44865973201942,5.241534250482851,48.6,4.316221714019775,98204892800484403055623800779791099565
15,1016,8.213958384437092,6.391148818274414,6.057622678049412,3.177474216078279,2.211187017476041,-4.443902679023725,-3.6233476101662223,-2.6024108423072176,0.4539034402336972,0.013537064710243393,0.7364069001974332,29.09904320521467,140.4439724452298,5.241489862064636,48.5,4.316221714019775,98204892800484403055623800779791099565
16,1017,8.213958384437092,6.391148818274414,6.057622678049412,3.177474216078279,2.211187017476041,-4.84084770172805,-4.0202926328705475,-2.6024108423072176,0.4539034402336972,0.013537064714041631,0.736406896977702,29.09904320521467,140.44399701364526,5.241490183791414,48.4,4.316221714019775,98204892800484403055623800779791099565
17,1018,8.213958384437092,6.391148818274414,6.057622678049412,3.177474216078279,2.211187017476041,-4.84084770172805,-4.0202926328705475,-2.6024108423072176,0.4539034402336972,0.013537064714041631,0.6675987883962973,25.167485504896607,121.47278789274867,9.31862000962025,48.3,4.316221714019775,98204892800484403055623800779791099565
18,1019,8.213958384437092,6.391148818274414,6.057622678049412,3.177474216078279,2.211187017476041,-6.60645350503429,-4.0202926328705475,-2.6024108423072176,0.4539034402336972,0.013537064714268595,0.6675987884005203,25.167485504896607,121.47278823225224,9.318620011517556,48.199999999999996,4.316221714019775,98204892800484403055623800779791099565
19,1020,8.32680585473852,6.503996288575842,6.17047014835084,3.177474216078279,2.211187017476041,-6.60645350503429,-4.0202926328705475,-2.6024108423072176,0.4539034402336972,0.013537064723421281,0.6675989078220278,25.167485504896607,121.47283013777579,9.318611726842045,48.1,4.316221714019775,98204892800484403055623800779791099565
