n,c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
22.204246082479408,1.725832488575632,0.012182871577815285,0.6625722619858037,0.2589323731506229,0.9594314272161284,0
22.045762929610483,1.8750710820444416,0.23717253812180136,0.8003013248124133,0.3563054151768321,1.0138041973880276,0
24.195505818248865,1.8650945719450969,0.14575531400899452,0.7871397240563216,0.19696145068597554,1.1317192530576567,1
23.68824048321153,2.067449673819514,0.31118061897233323,0.7137119906015469,0.2841315885376766,1.3039979527519037,0
19.465690515831337,2.03803735919233,0.1669465304379121,0.4810462700928484,0.03935279498562005,1.3292716329172798,0
16.876862767458103,1.7039748034654827,0.11288635833459396,0.5153289026066437,0.1714228093299368,1.2696912463286532,0
16.468012033990032,2.031911996497701,0.28938609343501537,0.6348891794066163,0.08389076431560596,1.1845799510606503,0
17.517909157038268,1.7545595584322407,0.32380680225912817,1.0088109190418697,0.42166035446012123,1.0106526122460615,0
23.19783409005025,1.9588517610756968,0.1310329251198758,0.796065416243383,0.005858559677079707,0.9495103014549466,0
21.572066628061936,1.6338587243402667,0.05605189557086192,0.9133148098218302,0.540183305649118,1.1576573631106708,0
24.71188090720646,2.1298009403810525,0.04783839307500394,0.680479603444298,0.21439101392411258,0.8721052764813128,0
23.87448532633677,1.795875358178845,0.158562840951288,0.5019360197796314,0.09880729569930323,1.3683378795873309,1
16.767674488132116,1.675319312751513,0.09867270290141678,0.7056507609326392,0.32026824631432554,1.1200496918040017,0
17.162336943958145,1.6818084142187173,0.28500765913253756,0.7940854557787629,0.35451196028152643,1.2261976595044146,0
23.950213788784616,1.5704730308181576,0.12385921794954013,0.7352486966486946,0.18483716696328503,1.3307630302659137,0
21.146908684262264,1.9967844954609166,0.28785477893849226,0.7144071252337862,0.4967228233432616,1.17635007061579,0
24.823926586726543,1.7399624191402037,0.16852609193604376,0.730378860094434,0.05733130914142997,1.063207210314526,0
25.494560323906086,1.9141072860041346,0.05997087733162367,0.6148456168574503,0.1046378463271475,0.8389695853727452,1
25.59578818342959,1.804532338739412,0.10390120664887524,0.7706185504263293,0.003994556008815162,0.9908889702540901,0
23.351518255378252,1.9158698056268468,0.3317046795402087,0.7837468612865138,0.26077453748210067,1.2809352442040063,1
25.354462318029857,1.9680255098163002,0.32542242286950224,0.8807353379345937,0.47337584024735124,0.892538149003784,1
23.645318628327203,1.7996611615017104,0.1868669873008225,0.8039936811811015,0.5296334610099677,1.4148225551525766,1
26.12861715746235,2.135607941785289,0.0,0.4115322354916873,0.0,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.0,0.4115322354916873,0.0,0.8240757062936017,0
23.912991598508132,2.135607941785289,0.0,0.4115322354916873,0.0,0.8240757062936017,0
20.105367813420813,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.0,0.4115322354916873,0.0,0.8240757062936017,0
20.240568252210263,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
20.36413119669079,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
24.446653555310288,2.135607941785289,0.0,0.6959318808976531,0.0,0.8240757062936017,0
20.72055263653345,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.431662445412112,2.135607941785289,0.0,0.7248379493721566,0.0,0.8240757062936017,0
20.923625058654235,2.135607941785289,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
24.327812650622473,2.135607941785289,0.0,0.7573180752422365,0.0,0.8240757062936017,0
21.91762018028,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.398740362103904,2.135607941785289,0.3378515687040468,0.711851337230098,0.0,0.8240757062936017,0
22.111600385993203,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.422537861448685,2.135607941785289,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
24.4614012766636,2.135607941785289,0.0,0.75975904776203,0.0,0.8240757062936017,0
23.739682913157356,2.135607941785289,0.0,0.7917673235039056,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
21.765853557810356,2.135607941785289,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.420949099236026,2.135607941785289,0.3378515687040468,0.7315087887441939,0.0,0.8240757062936017,0
22.26549989145252,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.685862359750782,2.135607941785289,0.0,0.7454591974032191,0.0,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.0,0.4115322354916873,0.0,0.8240757062936017,0
22.343168901722645,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.03765399360313,2.135607941785289,0.0,0.744508080456498,0.5461179681433668,0.8240757062936017,0
21.161114007417414,2.135607941785289,0.3378515687040468,1.0115322354916874,0.0,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
22.416725110236378,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.705755277900355,2.135607941785289,0.3378515687040468,0.7160958597784907,0.0,0.8240757062936017,0
22.4406498082887,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
24.906307967038348,2.135607941785289,0.0,0.742534029822538,0.0,0.8240757062936017,0
22.482465218468036,2.135607941785289,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
26.321183598389325,2.135607941785289,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
24.933619614211324,2.135607941785289,0.0,0.7501463548595287,0.0,0.8240757062936017,0
22.251865688712336,2.135607941785289,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,2.135607941785289,0.0,0.4115322354916873,0.0,1.4240757062936018,0
26.321183598389325,2.135607941785289,0.0,0.5628738604169866,0.0,0.8240757062936017,0
16.321183598389325,1.5356079417852893,0.0,0.4115322354916873,0.0,0.8240757062936017,0
16.321183598389325,1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
25.06988850008687,1.8990623245484017,0.0,0.4115322354916873,0.0,0.8240757062936017,0
24.961354132257565,1.8938745989302166,0.0,0.4115322354916873,0.0,0.8240757062936017,0
24.943799512865105,1.8910385512790708,0.0,0.4115322354916873,0.0,0.8240757062936017,0
24.946835567456134,1.8873404919502803,0.0,0.4115322354916873,0.0,0.8240757062936017,0
20.300394253757226,1.9085796428274264,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.62721117304934,1.8820254141107817,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
20.409895560963523,1.9042777555366963,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.671008709486525,1.881474284191499,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
23.76118013283186,1.9069945255295613,0.0,0.6376372109037368,0.0,0.8240757062936017,0
21.72891890761233,1.9012554658894494,0.0,0.8223068135836223,0.5461179681433668,0.8240757062936017,0
24.956346083395076,1.8862571318737749,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
21.378022266807182,1.9025563220438155,0.0,0.8894508660451038,0.5461179681433668,0.8240757062936017,0
23.92100418962121,1.9070222070382863,0.3378515687040468,0.5943330043255856,0.0,0.8240757062936017,0
20.49638584210707,1.8978468577623722,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
23.94952957844682,1.9082114667562373,0.3378515687040468,0.5981700928910518,0.0,0.8240757062936017,0
21.72828029180648,1.8999350106898267,0.3378515687040468,0.7896489939722086,0.5461179681433668,0.8240757062936017,0
25.345661073683786,1.8964071568233323,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
20.58794557607742,1.8986567951887292,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
24.008191721267572,1.9170737987175068,0.0,0.6530112531878771,0.0,0.8240757062936017,0
16.321183598389325,1.7813360899506652,0.3378515687040468,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
21.97956752832676,1.9026316935866776,0.0,0.8138759220791691,0.5461179681433668,0.8240757062936017,0
24.125963185123773,1.9193391619295364,0.0,0.6491026626082596,0.0,0.8240757062936017,0
25.562300371181802,1.9039076146503964,0.3378515687040468,0.4115322354916873,0.0,0.8240757062936017,0
20.719852928425812,1.9035351830228635,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,1.5356079417852893,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
23.892718602584743,1.9141687456251866,0.3378515687040468,0.6327958156034911,0.0,0.8240757062936017,0
23.141607455344946,1.8493055841692687,0.3378515687040468,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
20.742408296152515,1.9027502499853832,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,1.797821376288145,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
26.321183598389325,1.9385269178286482,0.0,0.4115322354916873,0.0,0.8240757062936017,0
23.85370689319622,1.9175287072492295,0.3378515687040468,0.6480286322271072,0.0,0.8240757062936017,0
20.77525009776592,1.9030725494399772,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
16.321183598389325,1.8302979524235088,0.3378515687040468,1.0115322354916874,0.5461179681433668,1.4240757062936018,0
24.03911287288158,1.9233909426587221,0.0,0.6760740337582731,0.0,0.8240757062936017,0
