c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f,feasible
1.7970980107546248,0.2808048302093694,0.6168421186998877,0.547362327319125,1.4017186128378294,0.3102157932821845,1
2.0668177555674108,0.25066882245656974,0.434059452077942,0.31522344191410534,1.37192296405111,0.36419770087034176,1
2.000010174224161,0.02144266945732167,0.48928049239607446,0.0,0.8988771903426381,0.3112590904533256,1
2.0126378277670542,0.12822173528960984,0.9861930614583733,0.0,1.1709775437091872,0.3153220787499448,1
1.9897918235769771,0.10535983719150606,1.0003893279154576,0.151191568565743,1.34105152250336,0.3121791388946289,1
1.8449797169018691,0.2887411694252178,0.9421404956114973,0.0,1.4297253021047238,0.28874206150148324,1
1.8437579938825341,0.3380429441943819,0.9954671605819034,0.0,1.223640422867673,0.30539845755267137,1
2.095431899508642,0.11103635275025935,0.9756879481929759,0.3127789719473187,1.3970455177530883,0.34660097411875496,1
1.7661151038857206,0.3380429441943819,0.5585838685512966,0.16944466814850706,1.4009008521235757,0.298751678200235,1
1.903395474694017,0.2710930299041949,0.992867689553292,0.547362327319125,1.415477382602472,0.32028883547279957,1
2.0083985951636674,0.0,0.9233677251876266,0.547362327319125,1.1907521794761466,0.31993792296120566,1
1.8496053336552452,0.2306556829465869,0.8809477757447312,0.0,1.2170391147589834,0.28899398100203405,1
1.8543162667072766,0.2472342721741854,0.9803824621385138,0.120858393055549,1.4292791578430868,0.29262656474145515,1
1.8841201746658054,0.175638976396021,0.8347647833488061,0.0,1.000718562362178,0.28615113171681433,1
1.7609810831657897,0.3380429441943819,0.44328858328986054,0.3915176599967801,1.4087202148135083,0.3110085991995702,1
1.8946597663471165,0.018721701508125573,0.6337921619355787,0.3566683238750938,1.2771634811159929,0.29455358251927855,1
1.8801877973947967,0.09696731107458917,1.007238625588207,0.547362327319125,1.0689924204399923,0.3013412842770673,1
1.9978148060722096,0.18938591119121342,0.9911583786013947,0.547362327319125,0.8964076327195257,0.3424610797997915,1
1.980735354606608,0.3380429441943819,0.9764128736515709,0.2519190776609815,0.843254242798582,0.34201601813651683,1
1.9380319289660106,0.3380429441943819,0.9368787698281532,0.547362327319125,1.289897344183368,0.3333843716014712,1
2.1448886765592903,0.16495830126517386,1.0102597971414249,0.24170384361927097,1.4285409547607426,0.3668146387736665,1
2.0046390935633633,0.10287881246010122,1.005730940171786,0.3906339302398615,1.3058904504726483,0.3190251460872807,1
1.7713853870298844,0.1837630036549165,1.004542095037062,0.48273968786605337,0.9381637065120094,0.28704572809704937,1
1.7729671594195333,0.22702069224914337,1.0008328846278616,0.547362327319125,1.2579398907023809,0.2998712660883669,1
2.0241430858399907,0.29033200665482134,1.0035373154591654,0.0,1.0071514501641066,0.3380716616766739,1
1.9417061434419716,0.15556222011234994,0.856435656043145,0.0,0.9930475326741967,0.29897558446897676,1
1.8842608751556333,0.07355536403066189,0.939098382126274,0.28020156458020146,1.2222603927234934,0.29214277548202594,1
1.9271810344033231,0.13265009249348533,0.9890100141999183,0.547362327319125,0.8612441237478271,0.3085652417888176,1
1.8127466735319218,0.14023918325237256,0.7893873540314797,0.36320193638887355,1.143904563885788,0.2860962926517251,1
1.8208832282026919,0.2336934969987397,0.44141832271761106,0.547362327319125,0.9714094081193504,0.32730750181249363,1
1.710909404324646,0.3191395024629181,0.9045362688676457,0.40182657476950034,1.3392737582490157,0.3067469863578477,1
1.7120740773167145,0.2546058748661553,0.526087457810059,0.43834604070626376,0.8392830361661997,0.30162648000770703,1
1.728855459205254,0.2800339964108813,0.5864046953784267,0.4645807890653722,0.8327597788606025,0.29710397197692584,1
1.696940505405496,0.3380429441943819,0.4325032969618561,0.35089867623559756,1.412922212629218,0.2954826236581496,1
2.1448886765592903,0.0673427948408247,0.9951838603608575,0.547362327319125,1.2197684130208535,0.36004600692384986,1
