n,c,delta_u3,delta_l3,delta_u2,delta_l2,obj_f
23.893897422740302,2.4672062570133226,0.37194883975141835,1.2987852342154813,1.2288549896763319,0.9183540732123041,1.5749007339569814
20.536724486532155,1.1161619078142635,0.3125826439219501,0.21897465140163042,0.8976127675444352,0.1459226823202715,0.7859181177250653
32.39571603022503,2.0192771454554217,1.7450634982969964,1.58129761320099,0.8987078820662642,1.9253877043449954,1.651048842934991
21.94033890914015,1.2798567974784323,0.22803838266910192,0.7096038382751979,1.3579713218298741,0.7502273061511404,1.385063406161441
39.708604196387824,2.1943157107162254,1.1750389851116811,0.977951030688549,1.061512803872139,1.6080675567683096,1.9778840248323235
92.44263748964093,3.3256395763427498,0.8581977429385137,0.08595025129379774,0.5580196068282528,0.38800008898588745,1.6921809445004876
49.21718860404355,1.3074179485981978,0.9167525823230251,0.14355418612153747,0.5662701527750222,0.3097288228576718,1.5214029657966948
19.571726836151754,1.8315265824142348,1.446862736754573,1.903084386300565,1.5861588653900425,1.833913171723569,0.41176032586652594
28.571569225561973,1.4778050254367243,1.2248786585063631,1.1895250069502075,0.9570249218827678,1.750483618423952,1.767323195651725
2.0,2.6861233238076947,3.2477797496565657,3.1822398683240736,1.9300004956803034,0.8018423920837696,2.0
8.294191518918728,1.0925630707733178,1.584550018010775,4.0,0.12842122186031418,4.0,2.0
2.0,1.8319779107826142,2.9600766462346413,0.9537446413436774,0.0,0.0,2.0
154.14925231202352,-1.1643920582147107,0.6952271282516461,4.0,4.0,4.0,2.0
22.30419807074546,-1.1643920582147107,3.4621600396143317,0.0,0.0,0.0,2.0
154.14925231202352,4.835607941785289,3.9719324203786432,4.0,4.0,4.0,2.0
154.14925231202352,1.5554192063180559,3.910351106690271,0.0,0.0,0.0,2.0
2.0,4.835607941785289,3.920529828916748,0.0,0.0,4.0,2.0
89.92712502684637,-1.1643920582147107,3.963782091494846,0.0,0.0,0.0,2.0
72.36018181206059,4.835607941785289,3.3466994353412622,4.0,4.0,4.0,1.8497131068853954
