c,delta_u3,delta_l3,delta_u2,delta_l2,feasible
1.6197573951844557,0.1871819802134083,0.4766776801729535,0.3671223937154098,0.9928159765970067,0
1.9312615226004302,0.24561627087621674,0.8727207306422816,0.05883926649127852,1.3736828133761665,1
1.6737363363222177,0.012639890793350613,0.7444437171265774,0.20256732400205218,1.3219495521730498,0
2.0205588250238704,0.10714587243721896,0.9832718725335343,0.15887545866174244,1.1331099838326306,1
1.689186996125851,0.3162437885163786,0.5102969260408983,0.024526496210598794,1.0851339422954245,0
2.1310332802187912,0.3012545631819587,0.8606970471658569,0.4864777851559486,1.3601436901123196,1
1.8469229580171587,0.10673712576021553,0.8747396947582802,0.3613451046403512,1.0482703436178278,1
1.5922879426221983,0.2523040416861539,0.5690085450454061,0.5116104942994935,0.9686580512970127,0
1.609262701232181,0.2807927200472117,0.5035028254663838,0.09790164420360341,1.1837053812061078,0
2.060345166287768,0.06636575995952361,0.5977264392317442,0.42455475068509463,1.4071715619301823,1
1.8360526535066946,0.048615996969534656,0.41989400811660826,0.12541928447484693,0.9031690369655143,1
1.5356079417852893,0.0,0.4115322354916873,0.0,1.4240757062936018,0
1.6118898369153172,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
1.7249491097642637,0.0,1.0115322354916874,0.0,0.8240757062936017,0
2.135607941785289,0.0,1.0115322354916874,0.0,0.8240757062936017,1
1.736653861664071,0.0,1.0115322354916874,0.5461179681433668,0.8240757062936017,0
1.7871876091238263,0.0,1.0115322354916874,0.0,0.8240757062936017,0
1.86086478414553,0.0,1.0115322354916874,0.0,1.1796767291132564,0
1.8724092474520415,0.0,1.0115322354916874,0.0,1.1802591642370892,0
1.7114689399849483,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.885343542697225,0.0,1.0115322354916874,0.0,1.1810698281838026,0
1.7321025365556197,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,0
1.8884511313081052,0.0,0.9015072594458116,0.0,1.1809968938359179,0
1.7502255390289403,0.0,0.4115322354916873,0.5461179681433668,0.8240757062936017,1
1.8799284723146164,0.0,0.735846411972739,0.0,1.1813435270081931,0
1.8836061468606788,0.0,0.7118949031097069,0.0,1.1811221247950479,0
1.8901597064675426,0.0,0.7042879891480776,0.0,1.180823072316965,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.9019930288590658,0.0,0.7236746417856657,0.0,1.1802512073601314,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.8844872323340192,0.0,1.0115322354916874,0.25303701185414895,1.1790337788090326,0
1.5356079417852893,0.3378515687040468,1.0115322354916874,0.5461179681433668,1.4240757062936018,0
1.8893607375392865,0.0,1.0115322354916874,0.26835018887189577,1.1788731799351688,0
1.5356079417852893,0.3378515687040468,1.0115322354916874,0.0,1.4240757062936018,0
1.5356079417852893,0.0,0.4115322354916874,0.5461179681433668,1.4240757062936018,0
1.812992900929466,0.19596044562113119,1.0115322354916874,0.0,0.9345271018738242,0
1.6723295727913394,0.1439536416796625,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.8947351563701296,0.0,0.5391153082450051,0.0,1.1802537445842207,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.0,1.4240757062936018,0
1.8526505154877264,0.24926445523881952,1.0115322354916874,0.0,0.8240757062936017,1
1.8883523175282007,0.1068398729643109,1.0115322354916874,0.0,1.183753416783474,0
1.7447839372076976,0.3378515687040468,1.0115322354916874,0.0,1.4240757062936018,0
1.693371767505095,0.13952753325220238,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.8031627173511795,0.02767097792845267,1.0115322354916874,0.5461179681433668,0.9863583982208655,0
1.900142958580361,0.0,0.5310450628070336,0.0,1.1799258594253614,0
1.8988284190532916,0.10602743398471952,1.0115322354916874,0.0,1.183260207194137,0
1.5356079417852893,0.0,0.4115322354916873,0.0,1.4240757062936018,0
1.5356079417852893,0.0,1.0115322354916874,0.5461179681433668,1.4240757062936018,0
1.892960944085791,0.0,0.7148897703569873,0.1774713729106288,1.1786234433799396,1
1.696802240317543,0.3378515687040468,1.0115322354916874,0.5461179681433668,1.4240757062936018,0
1.700151310112951,0.3378515687040468,0.4115322354916873,0.0,1.4240757062936018,0
1.7114573867076468,0.09276825890129203,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.5356079417852893,0.0,1.0115322354916874,0.0,1.4240757062936018,0
1.7267987361116173,0.0,0.4115322354916873,0.5461179681433668,1.4240757062936018,0
1.5356079417852893,0.3378515687040468,1.0115322354916874,0.0,1.4240757062936018,0
1.6742698980903097,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.4240757062936018,1
1.8116514428857555,0.0,1.0115322354916874,0.5461179681433668,1.0826150563173966,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.275067986754839,0
1.8176568255888157,0.0,1.0115322354916874,0.5461179681433668,1.0974303108593282,0
1.5356079417852893,0.0,0.4115322354916873,0.0,1.2725271967357876,0
1.8842324850243493,0.0,1.0115322354916874,0.2600060067219708,1.1583562286227882,0
1.5356079417852893,0.3378515687040468,0.4115322354916873,0.5461179681433668,1.2735909944738155,0
1.8000664031263525,0.0,0.6452948125022253,0.3212895497763177,1.002720508681444,0
1.9069310964677313,0.0,0.7599094944952245,0.0,1.1666748501610902,0
1.5356079417852893,0.0,1.0115322354916874,0.0,1.2584704203558315,0
1.8032205016115361,0.0,0.8713356476581834,0.5461179681433668,1.0759542859436533,0
